Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/30/16,40.9,33.9,27.1,21.5,16.2,13.6,61,48,37,23.3,6.6,0,30.11,29.84,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,1/31/16,58.1,43.7,36,37.8,28.2,21.6,83,56,30,17.4,6.2,0,30,29.78,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/1/16,61.1,50.2,41.4,40.2,33.6,24.4,75,53,38,18.6,5.7,0,30.1,29.73,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/2/16,51.8,42.5,34.3,30.7,24.9,22.2,69,50,33,13.9,3.3,0,30.39,30.09,30.2,0.03
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/3/16,56.6,48.5,38.1,54.4,44.4,28.5,96,85,64,29.5,6.6,0,30.35,29.79,30.1,1.05
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/4/16,57.7,51.6,42.6,54.9,39.4,24.2,95,65,43,19.2,5.5,0,30.1,29.86,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/5/16,42.7,34.3,29.8,34.5,24.1,14,98,69,37,32.2,8.4,1.1,30.34,30.04,30.2,0.5
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/6/16,42.3,35.3,28.6,21.8,17.5,14.5,59,48,36,19.2,6.9,0,30.46,30.26,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/7/16,47.5,38.9,30.7,27,21.8,17,68,51,31,25.7,5,0,30.27,29.91,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/8/16,38.2,32.3,26.3,28.5,23.3,19.4,92,70,47,22.8,6.4,0,29.91,29.72,29.8,0.08
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/9/16,36.5,29.5,24.6,24.6,21.6,19.4,85,72,54,15,4.3,0,29.78,29.56,29.7,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/10/16,38.9,34,30.4,30.3,22.1,13.6,93,63,42,30.6,9.3,0,29.76,29.58,29.7,0.02
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/11/16,30.5,22.9,17,20.8,1.3,-5.7,89,39,28,42.3,14.7,1.6,30.2,29.73,30,0.01
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/12/16,25.8,20.5,14.5,5.9,-0.5,-4.5,50,39,28,34.7,9.4,0,30.28,29.92,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/13/16,21.9,15.4,4.1,12.1,-5.1,-17.8,70,41,22,39.4,14.1,2.2,30.33,29.86,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/14/16,15.7,7.3,-2.3,-9.4,-16.2,-19.9,56,33,22,36.7,8.9,0,30.58,30.3,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/15/16,34,20.9,10.2,33.4,11.5,-13.4,97,69,30,17.4,4.4,0,30.59,30.08,30.3,0.39
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/16/16,56,47,33.9,53.6,42.3,24.7,98,84,58,42.7,11,0,30.09,29.41,29.8,1.37
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/17/16,38.9,36.9,34.1,25.8,23.5,20.1,66,58,50,26.4,8.7,0,30.21,29.77,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/18/16,36,30.6,25.3,23,6.9,-0.9,63,37,20,25.7,8.1,0.9,30.56,30.2,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/19/16,38.5,30.5,20.9,31.3,13.2,1.2,75,49,30,21.5,6,0,30.63,30.17,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/20/16,61.9,50.7,38.5,35.7,31.1,26.2,78,48,32,30.9,10.2,0,30.19,29.79,30,0
